timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82640557,01-01 16:57:20:557,-6,3,12,1,9,9,-3,2
82640616,01-01 16:57:20:616,4,5,5,-3,-11,-33,-29,-9
82640661,01-01 16:57:20:661,2,1,6,-5,-7,-21,-26,-6
82640713,01-01 16:57:20:713,-2,-5,-36,-9,-5,1,5,-4
82640758,01-01 16:57:20:758,-2,5,5,1,-3,12,11,4
82640818,01-01 16:57:20:818,-3,5,21,5,0,8,12,4
82640857,01-01 16:57:20:857,-1,8,4,-1,-5,-2,-8,-5
82640917,01-01 16:57:20:917,2,-6,9,-2,2,7,5,1
82640961,01-01 16:57:20:961,-1,2,-19,-5,-3,1,-4,0
82641021,01-01 16:57:21:21,-4,-3,-4,2,7,-3,-6,-2
82641073,01-01 16:57:21:73,-3,-1,21,6,-2,-6,-3,-4
82641118,01-01 16:57:21:118,4,-7,19,-1,-7,-4,-10,-3
82641170,01-01 16:57:21:170,0,-4,6,-9,-2,-8,-17,-3
82641224,01-01 16:57:21:224,-2,-5,-23,3,-10,-21,-25,-6
82641261,01-01 16:57:21:261,0,0,22,-8,8,12,23,4
82641321,01-01 16:57:21:321,-2,0,17,5,-2,-7,-9,-3
82641373,01-01 16:57:21:373,0,6,9,0,-3,-3,-6,-4
82641419,01-01 16:57:21:419,0,-6,-15,-5,-2,-1,-5,-2
82641464,01-01 16:57:21:464,1,9,17,1,-2,-1,0,0
82641523,01-01 16:57:21:523,-4,2,45,-3,2,-3,-6,-2
82641575,01-01 16:57:21:575,-2,12,-22,0,5,2,-1,1
82641621,01-01 16:57:21:621,0,-4,12,-4,-4,1,-1,-4
82641673,01-01 16:57:21:673,0,9,19,3,-3,1,3,-1
82641727,01-01 16:57:21:727,-3,0,-12,-3,0,-2,-1,3
82641778,01-01 16:57:21:778,1,-5,-5,-6,1,1,1,-3
82641824,01-01 16:57:21:824,-1,4,-6,-6,4,-3,0,0
82641884,01-01 16:57:21:884,0,2,-31,-5,-2,0,1,2
82641935,01-01 16:57:21:935,-4,-3,18,3,5,-4,-2,0
82641982,01-01 16:57:21:982,1,-2,8,-1,-2,-1,-2,-2
82642027,01-01 16:57:22:27,-2,8,5,-6,-2,-3,-1,0
82642081,01-01 16:57:22:81,-2,-5,-21,-3,0,3,-10,-4
82642124,01-01 16:57:22:124,2,5,-5,7,10,-1,12,3
82642184,01-01 16:57:22:184,-2,-20,-49,-10,1,6,4,2
82642235,01-01 16:57:22:235,3,7,-29,-7,0,5,2,1
82642283,01-01 16:57:22:283,2,4,1,1,-2,1,3,3
82642341,01-01 16:57:22:341,-3,2,-13,4,3,1,1,-1
82642385,01-01 16:57:22:385,-3,-2,1,-3,1,1,-1,-4
82642438,01-01 16:57:22:438,0,-3,-9,0,-2,-2,-3,0
82642484,01-01 16:57:22:484,1,-1,-2,3,3,1,1,0
82642544,01-01 16:57:22:544,-3,-1,-26,-2,-2,2,7,1
82642595,01-01 16:57:22:595,0,-3,10,3,15,12,25,7
82642643,01-01 16:57:22:643,-3,-3,-7,-4,4,13,24,7
82642702,01-01 16:57:22:702,0,7,1,5,-6,-11,-22,-7
82642745,01-01 16:57:22:745,-1,-6,-21,-8,3,9,16,5
82642798,01-01 16:57:22:798,0,0,-5,1,0,7,6,2
82642850,01-01 16:57:22:850,0,-4,-19,-3,3,0,5,1
82642895,01-01 16:57:22:895,-1,2,-6,-3,2,2,2,0
82642943,01-01 16:57:22:943,-2,-7,-26,-8,0,1,-1,-1
82643002,01-01 16:57:23:2,-2,2,-1,2,-2,4,0,4
82643045,01-01 16:57:23:45,0,7,-52,-1,-10,-13,-30,-11
82643105,01-01 16:57:23:105,2,0,34,0,3,4,14,4
82643158,01-01 16:57:23:158,0,11,8,1,-1,-2,5,2
82643206,01-01 16:57:23:206,-1,1,-18,0,1,-3,1,0
82643248,01-01 16:57:23:248,0,-1,-4,-1,1,11,4,-1
82643308,01-01 16:57:23:308,3,5,-87,-5,-3,-11,-4,-1
82643361,01-01 16:57:23:361,1,-7,-32,3,-5,-11,-4,-3
82643405,01-01 16:57:23:405,0,10,-2,6,-5,-11,-9,-2
82643458,01-01 16:57:23:458,1,8,-8,-18,-6,-3,-3,-2
82643506,01-01 16:57:23:506,3,0,22,8,1,-3,-5,3
82643566,01-01 16:57:23:566,-5,3,70,3,-1,11,7,0
82643608,01-01 16:57:23:608,1,0,-2,-3,-3,-5,-5,-5
82643668,01-01 16:57:23:668,-2,9,-26,2,0,-5,17,0
82643707,01-01 16:57:23:707,1,-10,-6,6,4,-4,-7,0
82643767,01-01 16:57:23:767,-1,0,-25,-5,-3,-5,-1,-5
82643818,01-01 16:57:23:818,-1,-6,-11,-7,0,0,4,-3
82643866,01-01 16:57:23:866,1,5,61,0,-1,0,-1,1
82643908,01-01 16:57:23:908,2,3,5,-3,-4,-6,-6,-12
82643968,01-01 16:57:23:968,0,-8,-40,0,5,-2,4,-3
82644022,01-01 16:57:24:22,0,13,4,1,-1,3,13,2
82644067,01-01 16:57:24:67,1,0,-30,-9,0,3,1,3
82644110,01-01 16:57:24:110,0,-8,-91,-8,3,-2,-9,-1
82644170,01-01 16:57:24:170,1,1,0,-2,0,2,0,0
82644223,01-01 16:57:24:223,-2,6,23,-7,-1,2,3,0
82644268,01-01 16:57:24:268,-1,-6,39,9,-2,3,3,-3
82644328,01-01 16:57:24:328,-3,-2,2,4,3,2,4,5
82644366,01-01 16:57:24:366,-4,4,-7,-2,2,3,5,-11
82644427,01-01 16:57:24:427,1,-9,32,-1,-1,4,2,0
82644470,01-01 16:57:24:470,-3,4,17,-2,-2,2,4,3
82644530,01-01 16:57:24:530,1,-6,-32,1,4,6,4,2
82644568,01-01 16:57:24:568,-1,-5,-30,-11,-1,0,-19,1
