timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81982548,01-01 16:46:22:548,-8,0,31,-8,-10,-6,5,-4
81982599,01-01 16:46:22:599,4,7,-37,10,3,2,1,2
81982647,01-01 16:46:22:647,-11,-20,42,27,-7,-12,-17,-4
81982706,01-01 16:46:22:706,5,18,1,-6,1,7,-8,-3
81982745,01-01 16:46:22:745,-13,28,27,-6,-2,6,8,1
81982805,01-01 16:46:22:805,4,35,36,11,3,9,13,17
81982848,01-01 16:46:22:848,-1,-38,-78,-6,-4,-4,0,-5
81982908,01-01 16:46:22:908,27,-9,35,10,-5,-15,-11,-7
81982959,01-01 16:46:22:959,3,6,-7,-8,-8,-9,-13,0
81983008,01-01 16:46:23:8,7,13,82,-3,22,-8,-5,-1
81983050,01-01 16:46:23:50,-6,27,9,7,3,-9,-15,5
81983110,01-01 16:46:23:110,-8,31,3,6,-3,-7,-8,2
81983162,01-01 16:46:23:162,-2,-21,-18,-6,-21,-3,0,-10
81983210,01-01 16:46:23:210,12,13,-22,-3,2,-4,-34,0
81983268,01-01 16:46:23:268,2,-46,-50,-16,-3,-4,16,1
81983307,01-01 16:46:23:307,-8,-42,7,-1,-1,0,6,0
81983366,01-01 16:46:23:366,6,2,58,-3,-7,-4,-1,2
81983410,01-01 16:46:23:410,3,34,7,-14,0,-7,-5,-3
81983463,01-01 16:46:23:463,1,-5,17,19,4,2,0,-2
81983508,01-01 16:46:23:508,-9,-15,-41,-7,-14,-4,-2,-1
81983568,01-01 16:46:23:568,2,18,11,6,20,9,1,2
81983606,01-01 16:46:23:606,5,7,-89,-10,-10,-3,-2,-1
81983666,01-01 16:46:23:666,-1,1,-8,-14,-3,-3,-1,0
81983726,01-01 16:46:23:726,-18,-14,-42,-16,-17,2,2,0
81983763,01-01 16:46:23:763,-2,-3,6,27,9,14,7,-1
81983822,01-01 16:46:23:822,-9,-3,-76,-8,0,-8,-12,-14
81983868,01-01 16:46:23:868,1,-15,54,-24,-12,-15,-7,0
81983928,01-01 16:46:23:928,5,7,-21,-6,-4,-20,-17,2
81983966,01-01 16:46:23:966,1,-2,24,-1,4,11,3,2
81984026,01-01 16:46:24:26,6,-1,-31,-10,-5,-7,-5,1
81984069,01-01 16:46:24:69,12,45,27,4,-2,5,-2,1
81984130,01-01 16:46:24:130,16,-37,-4,-16,-4,-6,-3,-5
81984168,01-01 16:46:24:168,0,10,3,2,1,9,10,4
