timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81978132,01-01 16:46:18:132,-0.167969,-0.919922,0.654785,-99.0625,20.0625,-23.1875,6,9,14,-53,unknown
81978192,01-01 16:46:18:192,-0.23877,-0.933594,0.728516,-21.25,3.375,-5.625,6,9,14,-53,unknown
81978235,01-01 16:46:18:235,-0.262695,-1.0415,0.708008,9.125,-4.75,11.0625,6,9,14,-53,unknown
81978295,01-01 16:46:18:295,-0.233887,-0.856445,0.711426,120.625,-12.25,33.125,6,10,14,-53,unknown
81978334,01-01 16:46:18:334,-0.283691,-0.784668,0.731934,97.625,-8.0625,42.5625,6,10,14,-53,unknown
81978394,01-01 16:46:18:394,-0.318848,-0.776367,0.906738,149.75,-43.4375,36.5,7,10,14,-53,unknown
81978454,01-01 16:46:18:454,-0.212402,-0.441406,0.911133,136.875,-27.5,56.375,7,10,14,-53,unknown
81978491,01-01 16:46:18:491,-0.328613,-0.584961,0.90625,142,-48.375,50.75,7,10,15,-53,unknown
81978551,01-01 16:46:18:551,-0.0893555,-0.141602,0.966797,194.25,-41.9375,72.375,8,9,15,-53,unknown
81978597,01-01 16:46:18:597,-0.219727,-0.154297,0.999512,169.875,-52.8125,75.1875,8,9,15,-53,unknown
81978647,01-01 16:46:18:647,-0.0625,0.0522461,0.989746,132.625,-58.6875,64.6875,9,9,15,-53,unknown
81978707,01-01 16:46:18:707,-0.00537109,0.175293,0.910645,95.125,-57.75,42.4375,9,9,15,-53,unknown
81978745,01-01 16:46:18:745,0.0800781,0.23877,0.890625,66.25,-48.0625,20.125,9,8,15,-53,unknown
81978782,01-01 16:46:18:782,0.116699,0.256348,0.873047,18.0625,-30.0625,5.4375,9,8,15,-53,unknown
81978842,01-01 16:46:18:842,0.137695,0.259766,0.893555,-40.125,-0.25,-22.6875,9,8,15,-53,unknown
81978902,01-01 16:46:18:902,0.0605469,0.225586,0.974121,-55.125,15.0625,-27.125,9,8,15,-53,unknown
81978962,01-01 16:46:18:962,0.0473633,0.12793,0.868652,-139.375,33.5,-55.25,9,8,15,-53,unknown
81979000,01-01 16:46:19:0,0.0546875,0.0400391,0.848633,-178.312,46.3125,-75.875,9,9,15,-53,unknown
81979060,01-01 16:46:19:60,-0.0708008,-0.398926,0.970703,-234,51.9375,-75.75,8,9,15,-53,unknown
81979120,01-01 16:46:19:120,-0.172852,-0.45166,0.95752,-178.438,60.6875,-69.8125,7,9,14,-53,unknown
81979164,01-01 16:46:19:164,-0.305664,-0.563965,1.18213,-211.688,32.6875,-76.75,7,9,14,-53,unknown
81979205,01-01 16:46:19:205,-0.22998,-0.945801,1.09326,-81,-25.0625,-50.75,7,9,14,-53,unknown
81979262,01-01 16:46:19:262,0.0112305,-0.59375,0.87207,20.375,-23.5,-12.0625,7,9,14,-53,unknown
81979322,01-01 16:46:19:322,-0.0341797,-0.802246,0.97998,-36.0625,12.6875,13.9375,7,9,14,-53,unknown
81979360,01-01 16:46:19:360,0.0400391,-0.687012,0.946289,-22.8125,50.875,43.6875,6,9,14,-53,unknown
81979419,01-01 16:46:19:419,-0.0703125,-0.83252,0.916992,1,112.938,97.75,6,10,14,-53,unknown
81979465,01-01 16:46:19:465,-0.310547,-0.856934,0.861816,23.1875,130.188,144.312,6,10,14,-53,unknown
81979524,01-01 16:46:19:524,-0.618164,-0.563477,0.943359,112.562,94.125,145.438,7,11,14,-53,unknown
81979562,01-01 16:46:19:562,-0.496582,-0.361328,0.876465,119.312,111.312,142,7,12,15,-53,unknown
81979623,01-01 16:46:19:623,-0.540527,-0.318359,0.692383,61.125,148.375,123.375,8,13,15,-53,unknown
