timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1295277,12-31 18:21:35:277,-1,-1,-1,-4,-3,-1,0,-1
1295328,12-31 18:21:35:328,0,1,2,-1,-3,-1,0,-1
1295376,12-31 18:21:35:376,-3,-2,-5,0,-4,0,-2,-1
1295421,12-31 18:21:35:421,0,-9,8,1,-2,-2,0,0
1295473,12-31 18:21:35:473,2,3,7,6,7,1,1,1
1295533,12-31 18:21:35:533,0,2,-23,1,-7,-4,6,2
1295583,12-31 18:21:35:583,-4,17,17,19,0,-2,0,3
1295628,12-31 18:21:35:628,8,5,32,-1,-12,6,8,5
1295676,12-31 18:21:35:676,-2,10,12,-43,-1,3,8,-2
1295736,12-31 18:21:35:736,2,11,1,13,9,-1,2,-1
1295773,12-31 18:21:35:773,8,13,9,8,5,2,8,3
1295833,12-31 18:21:35:833,-6,-16,-18,4,-2,-2,0,-2
1295892,12-31 18:21:35:892,0,0,2,-5,2,-1,2,1
1295937,12-31 18:21:35:937,-1,-1,-1,-2,0,0,-2,-2
1295988,12-31 18:21:35:988,0,-1,1,-7,-4,-4,-33,-2
1296036,12-31 18:21:36:36,-3,1,-1,-1,2,0,5,-2
1296096,12-31 18:21:36:96,-3,1,-1,-1,-2,-3,1,-3
1296138,12-31 18:21:36:138,-1,-3,-1,0,1,3,-2,-2
1296191,12-31 18:21:36:191,-1,0,3,1,0,-3,-2,1
1296243,12-31 18:21:36:243,-1,-2,-2,-2,-2,2,-4,1
1296298,12-31 18:21:36:298,0,1,-1,0,-4,1,-1,-2
1296336,12-31 18:21:36:336,1,-2,0,1,0,0,1,-2
1296396,12-31 18:21:36:396,-1,0,1,1,1,1,1,0
1296439,12-31 18:21:36:439,1,1,-2,0,-4,-2,-1,1
1296499,12-31 18:21:36:499,0,-2,1,-3,0,-1,-1,-1
1296550,12-31 18:21:36:550,0,-1,-1,1,-1,1,2,-2
1296597,12-31 18:21:36:597,-1,0,-1,0,0,-1,0,0
1296634,12-31 18:21:36:634,-1,-2,-2,0,1,1,0,-1
1296694,12-31 18:21:36:694,0,0,-1,0,-1,-1,-1,-1
1296754,12-31 18:21:36:754,-2,4,-21,3,1,-1,1,-1
1296798,12-31 18:21:36:798,-2,-6,1,-13,-10,-4,-1,-1
1296858,12-31 18:21:36:858,4,-4,15,7,0,-3,-4,-1
1296910,12-31 18:21:36:910,1,29,-6,-3,-4,-2,-3,0
1296957,12-31 18:21:36:957,-7,-9,-4,-6,-3,-5,-4,-2
1296994,12-31 18:21:36:994,10,8,-3,-2,-6,-1,1,0
1297054,12-31 18:21:37:54,-6,-1,-2,0,-2,-1,0,-1
1297098,12-31 18:21:37:98,0,-1,0,-2,-1,-1,-1,1
1297160,12-31 18:21:37:160,-2,-1,-2,-1,1,0,-1,-1
1297197,12-31 18:21:37:197,0,-1,-1,-1,-2,-1,0,-1
1297257,12-31 18:21:37:257,0,-1,0,-1,-2,-1,0,0
1297317,12-31 18:21:37:317,-1,-1,-1,-1,0,-1,1,0
1297354,12-31 18:21:37:354,-5,0,-2,-1,1,-2,-2,-1
1297415,12-31 18:21:37:415,-6,0,-1,-1,1,1,2,0
1297460,12-31 18:21:37:460,-2,1,0,2,4,1,0,0
1297520,12-31 18:21:37:520,-1,-2,0,-4,0,-1,2,-3
1297557,12-31 18:21:37:557,-3,-1,-4,-17,-2,0,-1,-2
1297617,12-31 18:21:37:617,0,1,-1,0,1,-1,-8,1
1297654,12-31 18:21:37:654,0,0,1,2,-2,1,2,-1
1297714,12-31 18:21:37:714,0,-3,-4,-8,-4,-1,3,-1
1297760,12-31 18:21:37:760,0,0,1,1,0,-1,0,0
1297820,12-31 18:21:37:820,1,2,4,5,2,-1,1,-2
1297857,12-31 18:21:37:857,0,0,0,-2,-4,1,1,1
1297917,12-31 18:21:37:917,-1,-1,-2,-3,-3,-2,-1,-1
1297976,12-31 18:21:37:976,1,0,1,9,4,1,8,-3
1298021,12-31 18:21:38:21,-5,-2,1,3,1,0,-2,-1
1298073,12-31 18:21:38:73,3,-1,8,8,5,4,-4,3
1298121,12-31 18:21:38:121,-6,-2,0,-6,-1,3,4,-2
1298179,12-31 18:21:38:179,-1,-4,-3,1,-4,-1,1,-1
1298224,12-31 18:21:38:224,0,1,-1,-1,-6,-1,-1,-3
1298277,12-31 18:21:38:277,-1,0,0,-1,-2,-1,1,-1
1298323,12-31 18:21:38:323,1,1,-1,0,-3,-1,1,-1
1298383,12-31 18:21:38:383,13,1,0,-1,0,1,1,2
1298421,12-31 18:21:38:421,15,2,-1,1,0,-3,-5,0
1298481,12-31 18:21:38:481,-4,-1,-1,-1,-2,-1,2,1
1298539,12-31 18:21:38:539,-1,-1,-1,0,1,0,-1,-2
1298584,12-31 18:21:38:584,-2,0,0,-1,1,0,-1,-2
1298635,12-31 18:21:38:635,0,-1,0,0,-5,-2,-2,-1
1298691,12-31 18:21:38:691,0,0,-2,0,-1,-1,-1,-1
1298721,12-31 18:21:38:721,-1,0,0,0,0,0,-1,-1
1298781,12-31 18:21:38:781,-1,2,-1,-2,4,-3,-1,1
1298838,12-31 18:21:38:838,0,-1,-1,0,-2,-2,0,0
1298884,12-31 18:21:38:884,0,1,-1,-2,-3,0,0,-2
1298944,12-31 18:21:38:944,-2,-1,-1,-1,-2,-3,-3,0
1298995,12-31 18:21:38:995,-2,0,0,-2,0,-1,-1,-3
1299043,12-31 18:21:39:43,-1,-1,-1,-1,2,0,-1,-1
1299103,12-31 18:21:39:103,3,0,-1,2,7,3,2,0
1299145,12-31 18:21:39:145,0,10,3,-4,-2,-6,-2,0
1299207,12-31 18:21:39:207,0,-2,0,7,0,-1,1,1
1299246,12-31 18:21:39:246,-4,-2,0,-2,-4,-4,-4,-2
1299306,12-31 18:21:39:306,-2,-2,-2,-1,4,0,-3,0
1299343,12-31 18:21:39:343,3,-1,-1,0,0,1,0,-1
1299403,12-31 18:21:39:403,0,2,1,-3,-4,-2,2,0
1299463,12-31 18:21:39:463,1,-1,-1,2,2,2,1,-2
1299507,12-31 18:21:39:507,-10,0,-2,1,1,0,0,-1
